2026-01-02 17:05:00,TQQQ,Buy,993,54.24
2026-01-02 19:50:00,TQQQ,Sell,-993,54.58
2026-01-02 20:15:00,TQQQ,Buy,1007,53.66
2026-01-02 20:50:00,TQQQ,Sell,-1007,53.2
2026-01-08 15:10:00,TQQQ,Buy,984,54.64
2026-01-08 18:20:00,TQQQ,Sell,-984,54.96
2026-01-08 19:35:00,TQQQ,Buy,992,54.375
2026-01-08 20:50:00,TQQQ,Sell,-992,54.03
2026-01-09 19:30:00,TQQQ,Buy,989,54.35
2026-01-09 19:40:00,TQQQ,Sell,-989,54.68
2026-01-09 20:10:00,TQQQ,Buy,999,53.96
2026-01-09 20:15:00,TQQQ,Sell,-999,54.61
2026-01-13 20:20:00,TQQQ,Buy,979,55.47
2026-01-13 20:50:00,TQQQ,Sell,-979,55.04
