2026-02-01 18:54:40,014 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 18:54:40,070 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 18:54:40,078 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 18:54:40,346 - INFO - [WEBHOOK #4] SIGNAL | TQQQ @ 54.70 | BUY_L1 signal detected
2026-02-01 18:54:40,395 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 54.98 | TAKE_PROFIT signal detected
2026-02-01 18:54:40,398 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 18:54:40,475 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.35 | BUY_L1 signal detected
2026-02-01 18:54:40,480 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 18:54:40,482 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 53.96 | BUY_L1 signal detected
2026-02-01 18:54:40,486 - INFO - [WEBHOOK #10] SIGNAL | TQQQ @ 54.61 | TAKE_PROFIT signal detected
2026-02-01 18:54:40,630 - INFO - [WEBHOOK #11] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
